path,top_dir,biz_category,code_kind,language,effective_loc
RapidSpeech.cpp/examples/rs-asr-offline.cpp,RapidSpeech.cpp,Native/Engine,prod,C++,111
RapidSpeech.cpp/include/rapidspeech.h,RapidSpeech.cpp,Native/Engine,prod,C/C Header,68
RapidSpeech.cpp/python-api-examples/asr/asr-offline.py,RapidSpeech.cpp,Native/Engine,prod,Python,52
RapidSpeech.cpp/rapidspeech/python/pybind_rapidspeech.cpp,RapidSpeech.cpp,Native/Engine,prod,C++,258
RapidSpeech.cpp/rapidspeech/src/arch/ctc_decoder.h,RapidSpeech.cpp,Native/Engine,prod,C/C Header,117
RapidSpeech.cpp/rapidspeech/src/arch/ecapa_tdnn.cpp,RapidSpeech.cpp,Native/Engine,prod,C++,443
RapidSpeech.cpp/rapidspeech/src/arch/ecapa_tdnn.h,RapidSpeech.cpp,Native/Engine,prod,C/C Header,81
RapidSpeech.cpp/rapidspeech/src/arch/funasr-nano.cpp,RapidSpeech.cpp,Native/Engine,prod,C++,290
RapidSpeech.cpp/rapidspeech/src/arch/funasr-nano.h,RapidSpeech.cpp,Native/Engine,prod,C/C Header,79
RapidSpeech.cpp/rapidspeech/src/arch/sensevoice.cpp,RapidSpeech.cpp,Native/Engine,prod,C++,194
RapidSpeech.cpp/rapidspeech/src/arch/sensevoice.h,RapidSpeech.cpp,Native/Engine,prod,C/C Header,39
RapidSpeech.cpp/rapidspeech/src/arch/sensevoice_encoder.cpp,RapidSpeech.cpp,Native/Engine,prod,C++,315
RapidSpeech.cpp/rapidspeech/src/arch/sensevoice_encoder.h,RapidSpeech.cpp,Native/Engine,prod,C/C Header,76
RapidSpeech.cpp/rapidspeech/src/c_api/rapidspeech_c.cpp,RapidSpeech.cpp,Native/Engine,prod,C++,183
RapidSpeech.cpp/rapidspeech/src/core/rs_context.cpp,RapidSpeech.cpp,Native/Engine,prod,C++,190
RapidSpeech.cpp/rapidspeech/src/core/rs_context.h,RapidSpeech.cpp,Native/Engine,prod,C/C Header,33
RapidSpeech.cpp/rapidspeech/src/core/rs_model.h,RapidSpeech.cpp,Native/Engine,prod,C/C Header,28
RapidSpeech.cpp/rapidspeech/src/core/rs_processor.cpp,RapidSpeech.cpp,Native/Engine,prod,C++,195
RapidSpeech.cpp/rapidspeech/src/core/rs_processor.h,RapidSpeech.cpp,Native/Engine,prod,C/C Header,47
RapidSpeech.cpp/rapidspeech/src/frontend/audio_processor.cpp,RapidSpeech.cpp,Native/Engine,prod,C++,374
RapidSpeech.cpp/rapidspeech/src/frontend/audio_processor.h,RapidSpeech.cpp,Native/Engine,prod,C/C Header,65
RapidSpeech.cpp/rapidspeech/src/frontend/fftsg.c,RapidSpeech.cpp,Native/Engine,prod,C,2475
RapidSpeech.cpp/rapidspeech/src/utils/debug_utils.h,RapidSpeech.cpp,Native/Engine,prod,C/C Header,107
RapidSpeech.cpp/rapidspeech/src/utils/rs_log.cpp,RapidSpeech.cpp,Native/Engine,prod,C++,33
RapidSpeech.cpp/rapidspeech/src/utils/rs_log.h,RapidSpeech.cpp,Native/Engine,prod,C/C Header,15
RapidSpeech.cpp/rapidspeech/src/utils/rs_wav.cpp,RapidSpeech.cpp,Native/Engine,prod,C++,80
RapidSpeech.cpp/rapidspeech/src/utils/rs_wav.h,RapidSpeech.cpp,Native/Engine,prod,C/C Header,21
RapidSpeech.cpp/scripts/convert_ecapa_tdnn.py,RapidSpeech.cpp,Native/Engine,prod,Python,186
RapidSpeech.cpp/scripts/convert_hf_to_gguf.py,RapidSpeech.cpp,Native/Engine,prod,Python,169
RapidSpeech.cpp/server/rs_server.cpp,RapidSpeech.cpp,Native/Engine,prod,C++,516
RapidSpeech.cpp/setup.py,RapidSpeech.cpp,Native/Engine,prod,Python,201
RapidSpeech.cpp/test/test_audio_frontend.cpp,RapidSpeech.cpp,Native/Engine,test,C++,83
build_maclinux.sh,(root),Tools/Scripts,prod,Shell,278
build_win.bat,(root),Tools/Scripts,prod,Batch,186
cmd/maclaw-tool/main.go,cmd,Tools/Scripts,prod,Go,358
corelib/agent/background_loop_manager.go,corelib,Backend/Core,prod,Go,220
corelib/agent/doc.go,corelib,Backend/Core,prod,Go,1
corelib/agent/llm_helper.go,corelib,Backend/Core,prod,Go,157
corelib/agent/loop_context.go,corelib,Backend/Core,prod,Go,107
corelib/agent/types.go,corelib,Backend/Core,prod,Go,40
corelib/app_config.go,corelib,Backend/Core,prod,Go,125
corelib/bm25/bm25.go,corelib,Backend/Core,prod,Go,218
corelib/clawnet/auto_picker.go,corelib,Backend/Core,prod,Go,433
corelib/clawnet/client.go,corelib,Backend/Core,prod,Go,946
corelib/clawnet/doc.go,corelib,Backend/Core,prod,Go,1
corelib/clawnet/error_format.go,corelib,Backend/Core,prod,Go,132
corelib/clawnet/hide_window_other.go,corelib,Backend/Core,prod,Go,3
corelib/clawnet/hide_window_windows.go,corelib,Backend/Core,prod,Go,8
corelib/clawnet/installer.go,corelib,Backend/Core,prod,Go,148
corelib/clawnet/nutshell.go,corelib,Backend/Core,prod,Go,237
corelib/clawnet/process_alive_other.go,corelib,Backend/Core,prod,Go,12
corelib/clawnet/process_alive_windows.go,corelib,Backend/Core,prod,Go,16
corelib/config/doc.go,corelib,Backend/Core,prod,Go,1
corelib/config/manager.go,corelib,Backend/Core,prod,Go,826
corelib/config/store.go,corelib,Backend/Core,prod,Go,6
corelib/event_emitter.go,corelib,Backend/Core,prod,Go,50
corelib/kernel.go,corelib,Backend/Core,prod,Go,134
corelib/kernel_options.go,corelib,Backend/Core,prod,Go,15
corelib/logger.go,corelib,Backend/Core,prod,Go,32
corelib/mcp/doc.go,corelib,Backend/Core,prod,Go,1
corelib/memory/archiver.go,corelib,Backend/Core,prod,Go,81
corelib/memory/bm25.go,corelib,Backend/Core,prod,Go,37
corelib/memory/bm25_test.go,corelib,Backend/Core,test,Go,111
corelib/memory/compressor.go,corelib,Backend/Core,prod,Go,565
corelib/memory/store.go,corelib,Backend/Core,prod,Go,439
corelib/memory/types.go,corelib,Backend/Core,prod,Go,46
corelib/misc/context_bridge.go,corelib,Backend/Core,prod,Go,154
